name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_value,torque_rpm,age
Maruti Swift Dzire VDI,-0.13187848746302921,1.4827092555700783,1,1,1,0,1.0011275428848307,-0.36172855586195085,-0.43599547642302783,5.0,0.239423459709377,-0.6722721826883413,-0.13658143657025695
Skoda Rapid 1.5 TDI Ambition,-0.2897886526969684,0.9580044476778207,1,1,1,2,0.41778504882165196,0.15147934074614322,0.5147300830218335,5.0,0.9702581797798348,-0.6722721826883413,-0.13658143657025695
Honda City 2017-2020 EXi,-0.7082505905669073,1.369537630338415,3,1,1,4,-0.47013449966389576,0.14942650915971084,-0.3071708748722336,5.0,-0.5578629554095274,-2.208989175074458,1.8305914886834094
Hyundai i20 Sportz Diesel,-0.5760008271834832,1.1020410616090286,1,1,1,0,0.8978810837586048,-0.057909481069959155,0.07930292978014909,5.0,0.6008085609824034,-0.43929507650487915,0.8470050260565761
Maruti Swift VXI BSIII,-0.7635191483987861,0.9580044476778207,3,1,1,0,-0.883120336168801,-0.259086976540332,0.021331859082291783,5.0,-0.7012037615611063,-2.301248109123109,1.584694873026701
Hyundai Xcent 1.2 VTVT E Plus,-0.1516172581172716,-0.5852449872994078,3,1,1,0,0.15966890100608586,-0.466422966770002,-0.18285513437571718,5.0,-0.6893456637134964,1.1915446667793563,-0.8742712835403819
Maruti Wagon R LXI DUO BSIII,-0.8306309686232102,2.089720699994455,2,1,1,0,-0.5733809587901219,-0.7456080625248052,-0.9673969578200541,5.0,-1.1431712471951418,-2.301248109123109,1.584694873026701
Maruti 800 DX BSII,-0.9312986989598464,-1.4083113526205964,3,1,1,2,-0.883120336168801,-1.2896084329293849,-1.6276230407678745,4.0,-1.356232345777789,-0.20631797032141694,3.060074566966951
Toyota Etios VXD,-0.3292661940054532,0.3407046736869293,1,1,1,0,1.0501696109697887,-0.12360009183579519,-0.6582179140981481,5.0,-0.0041881136474422355,-0.5790813402149565,0.6011084103998678
Ford Figo Diesel Celebration Edition,-0.6253477538190892,1.9662607451962766,1,1,1,0,0.12353264031190644,-0.05175098631066202,-0.6260117637104495,5.0,-0.12599390032585187,-0.6722721826883413,0.10931517908645132
Renault Duster 110PS Diesel RxL,-0.0331846341918172,-0.1119818272397244,1,1,1,2,-0.1320023460255036,0.0755245720481453,0.6735064044331877,5.0,0.9458970224441527,-0.43929507650487915,-0.13658143657025695
Maruti Zen LX,-0.8385264768849071,0.5464712650172264,3,1,1,2,-0.5733809587901219,-0.8852006104022068,-0.8868815818508077,5.0,-1.1248013510888106,1.6574988791462806,2.0764881043401178
Maruti Swift Dzire VDi,-0.46743758858515,1.369537630338415,1,1,1,2,-0.05714866315898964,-0.36172855586195085,-0.4392160914617975,5.0,0.239423459709377,-0.6722721826883413,1.0929016417132844
Maruti Swift 1.3 VXi,-0.6253477538190892,0.13493808235663216,3,1,1,2,-0.00810659507403267,-0.36172855586195085,-0.18382131888734818,5.0,-0.12599390032585187,-0.322806523413148,1.584694873026701
Maruti Wagon R LXI Minor,-0.664825295127574,0.3407046736869293,3,1,1,2,-0.16039512228521663,-0.7456080625248052,-0.6614385291369178,5.0,-1.051717879081765,0.7255904544124319,1.0929016417132844
